x-axis,1,2,3,4,F1
second,Volt,Volt,Volt,Volt,Volt
-226.0000E-09,+596.4950011112E-03,+672.9648113251E-03,+680.8291599154E-03,+3.1935301008634E+00,+10.5604613E-06
-225.5000E-09,+589.4598253071E-03,+672.9648113251E-03,+680.3266473580E-03,+3.2186557287350E+00,-996.5196568E-06
-225.0000E-09,+589.4598253071E-03,+673.9698364399E-03,+672.7889589965E-03,+3.1483039706945E+00,-9.0128773973E-03
-224.5000E-09,+589.4598253071E-03,+681.0050122440E-03,+673.7939841114E-03,+3.1533290962689E+00,-15.0553581061E-03
-224.0000E-09,+589.4598253071E-03,+679.9999871291E-03,+679.3216222432E-03,+3.1885049752891E+00,-9.0128773973E-03
-223.5000E-09,+591.4698755369E-03,+672.9648113251E-03,+665.7537831925E-03,+3.1885049752891E+00,-15.0553581061E-03
-223.0000E-09,+603.0276643578E-03,+672.9648113251E-03,+674.2964966688E-03,+3.1885049752891E+00,-7.0390003657E-03
-222.5000E-09,+590.9673629794E-03,+671.4572736528E-03,+679.8241348006E-03,+3.1809672869276E+00,+10.5604613E-06
-222.0000E-09,+597.5000262260E-03,+665.9296355210E-03,+672.7889589965E-03,+3.1533290962689E+00,-996.5196568E-06
-221.5000E-09,+598.5050513409E-03,+672.9648113251E-03,+672.7889589965E-03,+3.1885049752891E+00,-8.0057972791E-03
-221.0000E-09,+604.0326894727E-03,+672.9648113251E-03,+672.7889589965E-03,+3.1809672869276E+00,-8.0057972791E-03
-220.5000E-09,+599.5100764558E-03,+672.9648113251E-03,+672.7889589965E-03,+3.1533290962689E+00,-8.0057972791E-03
-220.0000E-09,+613.5804280639E-03,+673.9698364399E-03,+672.7889589965E-03,+3.1809672869276E+00,-9.0128773973E-03
-219.5000E-09,+613.5804280639E-03,+681.0050122440E-03,+672.7889589965E-03,+3.1533290962689E+00,-16.0221550195E-03
-219.0000E-09,+612.0728903916E-03,+682.0100373589E-03,+672.7889589965E-03,+3.1809672869276E+00,-17.0292351377E-03
-218.5000E-09,+605.5402271450E-03,+687.5376754906E-03,+672.7889589965E-03,+3.1583542218432E+00,-23.0717158465E-03
-218.0000E-09,+605.5402271450E-03,+681.0050122440E-03,+674.2964966688E-03,+3.2161431659479E+00,-15.0553581061E-03
-217.5000E-09,+606.5452522598E-03,+679.4974745717E-03,+680.8291599154E-03,+3.1483039706945E+00,-7.0390003657E-03
-217.0000E-09,+612.0728903916E-03,+672.9648113251E-03,+682.3366975877E-03,+3.1533290962689E+00,+977.3573747E-06
-216.5000E-09,+604.0326894727E-03,+673.9698364399E-03,+686.8593106046E-03,+3.1885049752891E+00,+5.0056778473E-03
-216.0000E-09,+598.5050513409E-03,+681.0050122440E-03,+672.7889589965E-03,+3.1809672869276E+00,-16.0221550195E-03
-215.5000E-09,+605.5402271450E-03,+681.0050122440E-03,+672.7889589965E-03,+3.1483039706945E+00,-16.0221550195E-03
-215.0000E-09,+603.0276643578E-03,+681.0050122440E-03,+674.2964966688E-03,+3.1533290962689E+00,-15.0553581061E-03
-214.5000E-09,+588.4548001923E-03,+681.0050122440E-03,+680.8291599154E-03,+3.1885049752891E+00,-8.0057972791E-03
-214.0000E-09,+581.4196243882E-03,+681.0050122440E-03,+680.8291599154E-03,+3.1885049752891E+00,-8.0057972791E-03
-213.5000E-09,+581.4196243882E-03,+681.0050122440E-03,+680.8291599154E-03,+3.1885049752891E+00,-8.0057972791E-03
-213.0000E-09,+582.9271620605E-03,+679.4974745717E-03,+680.8291599154E-03,+3.1885049752891E+00,-7.0390003657E-03
-212.5000E-09,+588.4548001923E-03,+672.9648113251E-03,+680.8291599154E-03,+3.1885049752891E+00,+10.5604613E-06
-212.0000E-09,+583.9321871754E-03,+673.9698364399E-03,+682.3366975877E-03,+3.1885049752891E+00,+10.5604613E-06
-211.5000E-09,+598.5050513409E-03,+681.0050122440E-03,+686.8593106046E-03,+3.1885049752891E+00,-2.0035997750E-03
-211.0000E-09,+606.5452522598E-03,+681.0050122440E-03,+674.2964966688E-03,+3.1885049752891E+00,-15.0553581061E-03
-210.5000E-09,+611.0678652767E-03,+682.0100373589E-03,+680.8291599154E-03,+3.1885049752891E+00,-9.0128773973E-03
-210.0000E-09,+597.5000262260E-03,+690.0502382778E-03,+680.8291599154E-03,+3.1885049752891E+00,-17.0292351377E-03
-209.5000E-09,+599.5100764558E-03,+694.5728512947E-03,+680.8291599154E-03,+3.1935301008634E+00,-22.0646357284E-03
-209.0000E-09,+613.5804280639E-03,+682.0100373589E-03,+680.8291599154E-03,+3.2211682915222E+00,-9.0128773973E-03
-208.5000E-09,+613.5804280639E-03,+687.5376754906E-03,+683.3417227026E-03,+3.1885049752891E+00,-13.0411978698E-03
-208.0000E-09,+612.0728903916E-03,+681.0050122440E-03,+694.8995115235E-03,+3.1809672869276E+00,+6.0127579654E-03
-207.5000E-09,+607.5502773747E-03,+681.0050122440E-03,+680.8291599154E-03,+3.1533290962689E+00,-8.0057972791E-03
-207.0000E-09,+619.1080661956E-03,+679.4974745717E-03,+682.3366975877E-03,+3.1885049752891E+00,-6.0319202476E-03
-206.5000E-09,+606.5452522598E-03,+672.9648113251E-03,+687.8643357195E-03,+3.1885049752891E+00,+7.0198380836E-03
-206.0000E-09,+613.5804280639E-03,+673.9698364399E-03,+680.8291599154E-03,+3.1885049752891E+00,-996.5196568E-06
-205.5000E-09,+610.0628401618E-03,+681.0050122440E-03,+680.8291599154E-03,+3.1935301008634E+00,-8.0057972791E-03
-205.0000E-09,+589.4598253071E-03,+681.0050122440E-03,+682.3366975877E-03,+3.2161431659479E+00,-7.0390003657E-03
-204.5000E-09,+589.4598253071E-03,+681.0050122440E-03,+687.8643357195E-03,+3.1533290962689E+00,-996.5196568E-06
