x-axis,1,2,3,4,F1
second,Volt,Volt,Volt,Volt,Volt
-172.0000E-09,+789.4598231651E-03,+690.7034986652E-03,+704.1080296040E-03,+3.1533290962689E+00,+16.9987597783E-03
-171.2200E-09,+782.4246473610E-03,+683.6683228612E-03,+698.5803914722E-03,+3.1885049752891E+00,+18.5295215579E-03
-170.4400E-09,+782.4246473610E-03,+685.6783730909E-03,+696.0678286850E-03,+3.1483039706945E+00,+14.0580858333E-03
-169.6600E-09,+775.8919841144E-03,+685.6783730909E-03,+702.0979793742E-03,+3.1784547241405E+00,+20.9062306367E-03
-168.8800E-09,+784.9372101482E-03,+670.6029963680E-03,+696.0678286850E-03,+3.1734295985661E+00,+29.1240044007E-03
-168.1000E-09,+782.9271599185E-03,+675.6281219423E-03,+703.1030044891E-03,+3.1834798497148E+00,+31.4604302748E-03
-167.3200E-09,+777.9020343442E-03,+679.6482224017E-03,+696.0678286850E-03,+3.1684044729918E+00,+20.3825489752E-03
-166.5400E-09,+781.9221348036E-03,+691.7085237801E-03,+688.0276277661E-03,+3.1885049752891E+00,+321.5130218E-06
-165.7600E-09,+778.9070594590E-03,+687.1859107632E-03,+691.0427031107E-03,+3.1885049752891E+00,+8.0156051245E-03
-164.9800E-09,+780.9171096887E-03,+683.6683228612E-03,+701.0929542594E-03,+3.2211682915222E+00,+21.3896290934E-03
-164.2000E-09,+779.9120845739E-03,+683.6683228612E-03,+693.5552658979E-03,+3.1583542218432E+00,+13.8163866050E-03
-163.4200E-09,+784.4346975908E-03,+675.6281219423E-03,+698.0778789148E-03,+3.1583542218432E+00,+26.3041800699E-03
-162.6400E-09,+790.4648482800E-03,+675.6281219423E-03,+704.1080296040E-03,+3.1885049752891E+00,+32.0646783457E-03
-161.8600E-09,+785.4397227056E-03,+679.1457098443E-03,+696.0678286850E-03,+3.2111180403736E+00,+20.7853810225E-03
-161.0800E-09,+805.5402250029E-03,+691.7085237801E-03,+696.0678286850E-03,+3.1885049752891E+00,+8.2573043528E-03
-160.3000E-09,+785.9422352631E-03,+687.6884233207E-03,+696.0678286850E-03,+3.1658919102047E+00,+12.6078904632E-03
-159.5200E-09,+781.4196222462E-03,+683.1658103038E-03,+702.6004919317E-03,+3.1885049752891E+00,+23.3635061250E-03
-158.7400E-09,+779.4095720164E-03,+681.1557600740E-03,+693.0527533405E-03,+3.1885049752891E+00,+16.0319628649E-03
-157.9600E-09,+782.4246473610E-03,+677.6381721720E-03,+704.1080296040E-03,+3.1483039706945E+00,+30.4130669520E-03
-157.1800E-09,+782.4246473610E-03,+677.6381721720E-03,+710.1381802931E-03,+3.1784547241405E+00,+36.2944148419E-03
-156.4000E-09,+779.4095720164E-03,+683.6683228612E-03,+698.5803914722E-03,+3.1734295985661E+00,+18.6100879673E-03
-155.6200E-09,+782.9271599185E-03,+691.2060112227E-03,+696.5703412425E-03,+3.1483039706945E+00,+9.8283493371E-03
-154.8400E-09,+782.4246473610E-03,+691.7085237801E-03,+699.5854165871E-03,+3.1684044729918E+00,+11.5605271403E-03
-154.0600E-09,+782.4246473610E-03,+691.7085237801E-03,+703.6055170465E-03,+3.2261934170965E+00,+16.0319628649E-03
-153.2800E-09,+790.4648482800E-03,+679.1457098443E-03,+691.0427031107E-03,+3.1885049752891E+00,+16.0319628649E-03
-152.5000E-09,+788.9573106077E-03,+677.1356596146E-03,+697.0728537999E-03,+3.1809672869276E+00,+24.0483206053E-03
-151.7200E-09,+787.4497729354E-03,+683.6683228612E-03,+704.1080296040E-03,+3.1734295985661E+00,+24.0483206053E-03
-150.9400E-09,+788.4547980502E-03,+690.2009861078E-03,+700.0879291445E-03,+3.1483039706945E+00,+14.0580858333E-03
-150.1600E-09,+775.8919841144E-03,+683.6683228612E-03,+694.0577784553E-03,+3.1784547241405E+00,+14.4609178806E-03
-149.3800E-09,+782.4246473610E-03,+683.6683228612E-03,+698.5803914722E-03,+3.2287059798837E+00,+18.9323536051E-03
-148.6000E-09,+774.8869589996E-03,+683.6683228612E-03,+696.5703412425E-03,+3.1910175380763E+00,+16.5959277310E-03
-147.8200E-09,+777.9020343442E-03,+680.1507349592E-03,+700.0879291445E-03,+3.2060929147992E+00,+24.0483206053E-03
-147.0400E-09,+782.4246473610E-03,+683.6683228612E-03,+704.1080296040E-03,+3.1885049752891E+00,+24.7331350856E-03
-146.2600E-09,+777.3995217867E-03,+685.6783730909E-03,+707.1231049486E-03,+3.1885049752891E+00,+25.4985159754E-03
-145.4800E-09,+783.4296724759E-03,+682.6632977463E-03,+704.1080296040E-03,+3.1608667846303E+00,+25.3373831565E-03
-144.7000E-09,+778.4045469016E-03,+681.6582726315E-03,+692.0477282256E-03,+3.1985552264378E+00,+14.6220506995E-03
-143.9200E-09,+782.4246473610E-03,+689.6984735504E-03,+698.0778789148E-03,+3.1885049752891E+00,+12.5676072585E-03
-143.1400E-09,+782.4246473610E-03,+683.6683228612E-03,+704.1080296040E-03,+3.1533290962689E+00,+24.0483206053E-03
-142.3600E-09,+782.4246473610E-03,+680.6532475166E-03,+699.0829040296E-03,+3.1709170357790E+00,+22.5175588257E-03
-141.5800E-09,+797.5000240840E-03,+683.6683228612E-03,+704.1080296040E-03,+3.1859924125020E+00,+24.2900198336E-03
-140.8000E-09,+781.9221348036E-03,+683.6683228612E-03,+707.6256175060E-03,+3.1885049752891E+00,+27.8349418495E-03
-140.0200E-09,+782.9271599185E-03,+691.7085237801E-03,+704.1080296040E-03,+3.1533290962689E+00,+16.0319628649E-03
-139.2400E-09,+784.9372101482E-03,+686.6833982058E-03,+698.5803914722E-03,+3.2010677892249E+00,+16.0319628649E-03
-138.4600E-09,+782.4246473610E-03,+685.6783730909E-03,+702.0979793742E-03,+3.1558416590560E+00,+20.7450978178E-03
-137.6800E-09,+775.8919841144E-03,+685.6783730909E-03,+708.1281300634E-03,+3.1558416590560E+00,+26.3847464794E-03
-136.9000E-09,+784.9372101482E-03,+675.6281219423E-03,+706.6205923911E-03,+3.1885049752891E+00,+34.8442194718E-03
-136.1200E-09,+782.9271599185E-03,+675.6281219423E-03,+703.1030044891E-03,+3.1508165334817E+00,+31.1381646370E-03
-135.3400E-09,+778.4045469016E-03,+687.6884233207E-03,+704.6105421614E-03,+3.1885049752891E+00,+21.3493458887E-03
-134.5600E-09,+781.9221348036E-03,+683.6683228612E-03,+704.1080296040E-03,+3.1885049752891E+00,+24.0483206053E-03
-133.7800E-09,+778.9070594590E-03,+683.6683228612E-03,+699.0829040296E-03,+3.1885049752891E+00,+19.4963184713E-03
-133.0000E-09,+783.4296724759E-03,+682.6632977463E-03,+704.1080296040E-03,+3.1533290962689E+00,+25.0151175187E-03
-132.2200E-09,+784.9372101482E-03,+686.6833982058E-03,+709.1331551783E-03,+3.1608667846303E+00,+26.5458792983E-03
-131.4400E-09,+775.8919841144E-03,+690.2009861078E-03,+697.5753663573E-03,+3.1960426636506E+00,+11.9230759828E-03
-130.6600E-09,+782.4246473610E-03,+683.6683228612E-03,+704.1080296040E-03,+3.1633793474175E+00,+24.0483206053E-03
-129.8800E-09,+782.4246473610E-03,+686.6833982058E-03,+696.0678286850E-03,+3.1885049752891E+00,+13.0912889199E-03
