x-axis,1,2,3,4,F1
second,Volt,Volt,Volt,Volt,Volt
-560.000E-09,+867.085481063E-03,+1.147085431963E+00,+1.166884429753E+00,+653.611920774E-03,+24.017333984E-03
-555.000E-09,+887.185983360E-03,+1.131005030125E+00,+1.150804027915E+00,+673.712423071E-03,+24.017333984E-03
-550.000E-09,+887.185983360E-03,+1.147085431963E+00,+1.166884429753E+00,+653.611920774E-03,+24.017333984E-03
-545.000E-09,+887.185983360E-03,+1.147085431963E+00,+1.150804027915E+00,+653.611920774E-03,+8.026123047E-03
-540.000E-09,+846.984978765E-03,+1.155125632882E+00,+1.150804027915E+00,+653.611920774E-03,+30.517578E-06
-535.000E-09,+887.185983360E-03,+1.147085431963E+00,+1.142763826996E+00,+673.712423071E-03,+30.517578E-06
-530.000E-09,+867.085481063E-03,+1.155125632882E+00,+1.158844228834E+00,+653.611920774E-03,+8.026123047E-03
-525.000E-09,+887.185983360E-03,+1.139045231044E+00,+1.142763826996E+00,+653.611920774E-03,+8.026123047E-03
-520.000E-09,+867.085481063E-03,+1.147085431963E+00,+1.158844228834E+00,+653.611920774E-03,+16.021728516E-03
-515.000E-09,+867.085481063E-03,+1.139045231044E+00,+1.166884429753E+00,+653.611920774E-03,+32.012939453E-03
-510.000E-09,+887.185983360E-03,+1.147085431963E+00,+1.150804027915E+00,+633.511418477E-03,+8.026123047E-03
-505.000E-09,+867.085481063E-03,+1.139045231044E+00,+1.158844228834E+00,+653.611920774E-03,+24.017333984E-03
-500.000E-09,+887.185983360E-03,+1.139045231044E+00,+1.142763826996E+00,+653.611920774E-03,+8.026123047E-03
-495.000E-09,+907.286485657E-03,+1.147085431963E+00,+1.158844228834E+00,+653.611920774E-03,+16.021728516E-03
-490.000E-09,+887.185983360E-03,+1.147085431963E+00,+1.158341716276E+00,+654.868202168E-03,+15.960693359E-03
-485.000E-09,+907.286485657E-03,+1.154623120325E+00,+1.158844228834E+00,+634.767699870E-03,+8.026123047E-03
-480.000E-09,+907.286485657E-03,+1.131005030125E+00,+1.142763826996E+00,+653.611920774E-03,+15.960693359E-03
-475.000E-09,+907.286485657E-03,+1.147085431963E+00,+1.166884429753E+00,+673.712423071E-03,+23.956298828E-03
-470.000E-09,+888.442264753E-03,+1.139045231044E+00,+1.150804027915E+00,+654.868202168E-03,+16.021728516E-03
-465.000E-09,+887.185983360E-03,+1.147085431963E+00,+1.150804027915E+00,+653.611920774E-03,+8.026123047E-03
-460.000E-09,+907.286485657E-03,+1.147085431963E+00,+1.150301515358E+00,+654.868202168E-03,+7.965087891E-03
-455.000E-09,+887.185983360E-03,+1.147085431963E+00,+1.150804027915E+00,+654.868202168E-03,+7.965087891E-03
-450.000E-09,+887.185983360E-03,+1.155125632882E+00,+1.150804027915E+00,+673.712423071E-03,+30.517578E-06
-445.000E-09,+887.185983360E-03,+1.154623120325E+00,+1.158844228834E+00,+693.812925369E-03,+8.026123047E-03
-440.000E-09,+888.442264753E-03,+1.147085431963E+00,+1.150804027915E+00,+634.767699870E-03,+8.026123047E-03
-435.000E-09,+907.286485657E-03,+1.147085431963E+00,+1.150804027915E+00,+653.611920774E-03,+8.026123047E-03
-430.000E-09,+907.286485657E-03,+1.147085431963E+00,+1.150804027915E+00,+653.611920774E-03,+7.965087891E-03
-425.000E-09,+868.341762456E-03,+1.147085431963E+00,+1.150804027915E+00,+673.712423071E-03,+8.026123047E-03
-420.000E-09,+887.185983360E-03,+1.162663321244E+00,+1.150804027915E+00,+673.712423071E-03,-7.965087891E-03
-415.000E-09,+887.185983360E-03,+1.147085431963E+00,+1.150804027915E+00,+653.611920774E-03,+8.026123047E-03
-410.000E-09,+907.286485657E-03,+1.147085431963E+00,+1.158844228834E+00,+673.712423071E-03,+16.021728516E-03
-405.000E-09,+887.185983360E-03,+1.139045231044E+00,+1.142763826996E+00,+693.812925369E-03,+8.026123047E-03
-400.000E-09,+868.341762456E-03,+1.139045231044E+00,+1.150804027915E+00,+653.611920774E-03,+16.021728516E-03
-395.000E-09,+868.341762456E-03,+1.139045231044E+00,+1.166884429753E+00,+674.968704465E-03,+31.951904297E-03
-390.000E-09,+907.286485657E-03,+1.147085431963E+00,+1.150301515358E+00,+693.812925369E-03,+7.965087891E-03
-385.000E-09,+907.286485657E-03,+1.147085431963E+00,+1.158844228834E+00,+653.611920774E-03,+16.021728516E-03
-380.000E-09,+887.185983360E-03,+1.147085431963E+00,+1.142763826996E+00,+673.712423071E-03,+30.517578E-06
-375.000E-09,+887.185983360E-03,+1.147085431963E+00,+1.150804027915E+00,+653.611920774E-03,+8.026123047E-03
-370.000E-09,+887.185983360E-03,+1.139045231044E+00,+1.142763826996E+00,+673.712423071E-03,+8.026123047E-03
-365.000E-09,+907.286485657E-03,+1.154623120325E+00,+1.150804027915E+00,+673.712423071E-03,+30.517578E-06
-360.000E-09,+887.185983360E-03,+1.147085431963E+00,+1.158844228834E+00,+653.611920774E-03,+16.021728516E-03
-355.000E-09,+868.341762456E-03,+1.139045231044E+00,+1.166381917195E+00,+673.712423071E-03,+31.951904297E-03
