x-axis,1,2,3,4,F1
second,Volt,Volt,Volt,Volt,Volt
-226.0000E-09,+1.2005150951445E+00,+681.0050122440E-03,+687.8643357195E-03,+3.1081029661000E+00,-996.5196568E-06
-225.5000E-09,+1.2010176077019E+00,+681.0050122440E-03,+681.8341850303E-03,+3.1106155288871E+00,-7.0390003657E-03
-225.0000E-09,+1.2095603211783E+00,+681.0050122440E-03,+686.8593106046E-03,+3.1432788451202E+00,-2.0035997750E-03
-224.5000E-09,+1.2165954969823E+00,+679.9999871291E-03,+673.7939841114E-03,+3.1081029661000E+00,-14.0482779880E-03
-224.0000E-09,+1.2155904718675E+00,+673.4673238825E-03,+680.8291599154E-03,+3.1081029661000E+00,-996.5196568E-06
-223.5000E-09,+1.2085552960634E+00,+682.0100373589E-03,+680.8291599154E-03,+3.1081029661000E+00,-9.0128773973E-03
-223.0000E-09,+1.2085552960634E+00,+687.5376754906E-03,+680.8291599154E-03,+3.1081029661000E+00,-15.0553581061E-03
-222.5000E-09,+1.2070477583911E+00,+679.4974745717E-03,+679.8241348006E-03,+3.1081029661000E+00,-8.0057972791E-03
-222.0000E-09,+1.2005150951445E+00,+671.4572736528E-03,+674.2964966688E-03,+3.1081029661000E+00,-6.0319202476E-03
-221.5000E-09,+1.2025251453742E+00,+666.9346606359E-03,+680.8291599154E-03,+3.1081029661000E+00,+6.0127579654E-03
-221.0000E-09,+1.2140829341952E+00,+681.0050122440E-03,+680.8291599154E-03,+3.1131280916743E+00,-8.0057972791E-03
-220.5000E-09,+1.1990075574722E+00,+681.0050122440E-03,+679.8241348006E-03,+3.1407662823331E+00,-9.0128773973E-03
-220.0000E-09,+1.1934799193405E+00,+679.4974745717E-03,+672.7889589965E-03,+3.1131280916743E+00,-15.0553581061E-03
-219.5000E-09,+1.1990075574722E+00,+674.9748615548E-03,+674.2964966688E-03,+3.1407662823331E+00,-9.0128773973E-03
-219.0000E-09,+1.1924748942256E+00,+687.5376754906E-03,+682.3366975877E-03,+3.1081029661000E+00,-14.0482779880E-03
-218.5000E-09,+1.1924748942256E+00,+682.0100373589E-03,+687.8643357195E-03,+3.1081029661000E+00,-2.0035997750E-03
-218.0000E-09,+1.1924748942256E+00,+687.5376754906E-03,+682.3366975877E-03,+3.1081029661000E+00,-14.0482779880E-03
-217.5000E-09,+1.1934799193405E+00,+681.0050122440E-03,+687.8643357195E-03,+3.1081029661000E+00,-996.5196568E-06
-217.0000E-09,+1.2005150951445E+00,+681.0050122440E-03,+680.8291599154E-03,+3.1131280916743E+00,-8.0057972791E-03
-216.5000E-09,+1.1990075574722E+00,+679.4974745717E-03,+680.8291599154E-03,+3.1407662823331E+00,-7.0390003657E-03
-216.0000E-09,+1.1944849444553E+00,+673.9698364399E-03,+680.8291599154E-03,+3.1131280916743E+00,-996.5196568E-06
-215.5000E-09,+1.2085552960634E+00,+681.0050122440E-03,+680.8291599154E-03,+3.1483039706945E+00,-8.0057972791E-03
-215.0000E-09,+1.2085552960634E+00,+681.0050122440E-03,+679.8241348006E-03,+3.1407662823331E+00,-9.0128773973E-03
-214.5000E-09,+1.2085552960634E+00,+681.0050122440E-03,+674.2964966688E-03,+3.1081029661000E+00,-15.0553581061E-03
-214.0000E-09,+1.2060427332763E+00,+679.4974745717E-03,+680.8291599154E-03,+3.1081029661000E+00,-7.0390003657E-03
-213.5000E-09,+1.1944849444553E+00,+673.9698364399E-03,+680.8291599154E-03,+3.1005652777385E+00,-996.5196568E-06
-213.0000E-09,+1.2070477583911E+00,+679.4974745717E-03,+679.8241348006E-03,+3.0779522126541E+00,-8.0057972791E-03
-212.5000E-09,+1.2005150951445E+00,+673.9698364399E-03,+675.3015217837E-03,+3.1407662823331E+00,-7.0390003657E-03
-212.0000E-09,+1.2015201202594E+00,+681.0050122440E-03,+688.8693608344E-03,+3.1131280916743E+00,+10.5604613E-06
-211.5000E-09,+1.2070477583911E+00,+679.4974745717E-03,+687.8643357195E-03,+3.1483039706945E+00,+10.5604613E-06
-211.0000E-09,+1.2005150951445E+00,+672.9648113251E-03,+680.8291599154E-03,+3.1483039706945E+00,+10.5604613E-06
-210.5000E-09,+1.1990075574722E+00,+673.9698364399E-03,+679.8241348006E-03,+3.1407662823331E+00,-2.0035997750E-03
-210.0000E-09,+1.1934799193405E+00,+682.0100373589E-03,+675.3015217837E-03,+3.1081029661000E+00,-15.0553581061E-03
-209.5000E-09,+1.2005150951445E+00,+687.5376754906E-03,+686.8593106046E-03,+3.1081029661000E+00,-9.0128773973E-03
-209.0000E-09,+1.2005150951445E+00,+679.4974745717E-03,+672.7889589965E-03,+3.1131280916743E+00,-15.0553581061E-03
-208.5000E-09,+1.1980025323574E+00,+673.9698364399E-03,+674.2964966688E-03,+3.1407662823331E+00,-8.0057972791E-03
-208.0000E-09,+1.1854397184216E+00,+681.0050122440E-03,+680.8291599154E-03,+3.1131280916743E+00,-8.0057972791E-03
-207.5000E-09,+1.1924748942256E+00,+681.0050122440E-03,+680.8291599154E-03,+3.1533290962689E+00,-8.0057972791E-03
-207.0000E-09,+1.1924748942256E+00,+681.0050122440E-03,+679.8241348006E-03,+3.1759421613533E+00,-9.0128773973E-03
-206.5000E-09,+1.1934799193405E+00,+679.4974745717E-03,+675.3015217837E-03,+3.1081029661000E+00,-13.0411978698E-03
-206.0000E-09,+1.2005150951445E+00,+672.9648113251E-03,+687.8643357195E-03,+3.1131280916743E+00,+7.0198380836E-03
-205.5000E-09,+1.2015201202594E+00,+673.9698364399E-03,+680.8291599154E-03,+3.1407662823331E+00,-996.5196568E-06
-205.0000E-09,+1.2085552960634E+00,+681.0050122440E-03,+680.8291599154E-03,+3.1081029661000E+00,-8.0057972791E-03
-204.5000E-09,+1.2085552960634E+00,+681.0050122440E-03,+680.8291599154E-03,+3.1081029661000E+00,-8.0057972791E-03
-204.0000E-09,+1.2095603211783E+00,+681.0050122440E-03,+679.8241348006E-03,+3.1131280916743E+00,-9.0128773973E-03
-203.5000E-09,+1.2150879593100E+00,+679.4974745717E-03,+674.2964966688E-03,+3.1407662823331E+00,-14.0482779880E-03
-203.0000E-09,+1.2070477583911E+00,+673.9698364399E-03,+682.3366975877E-03,+3.1081029661000E+00,+10.5604613E-06
-202.5000E-09,+1.1990075574722E+00,+683.0150624737E-03,+687.8643357195E-03,+3.1005652777385E+00,-3.0106798931E-03
-202.0000E-09,+1.1924748942256E+00,+694.5728512947E-03,+680.8291599154E-03,+3.0729270870797E+00,-22.0646357284E-03
-201.5000E-09,+1.1934799193405E+00,+679.4974745717E-03,+680.8291599154E-03,+3.1081029661000E+00,-7.0390003657E-03
-201.0000E-09,+1.2005150951445E+00,+674.9748615548E-03,+680.8291599154E-03,+3.1081029661000E+00,-2.0035997750E-03
