time	V(n002)	V(n005)	I(C3)
0.000000000000000e+000	5.003207e-001	1.000000e+000	-3.995835e-023
2.823107199787331e-010	5.003207e-001	1.000000e+000	-1.421085e-014
5.823107199787321e-010	5.003207e-001	1.000000e+000	-1.421085e-014
8.823107199787310e-010	5.003207e-001	1.000000e+000	-1.421085e-014
1.182310719978756e-009	5.003207e-001	1.000000e+000	-1.421085e-014
1.482310719978786e-009	5.003207e-001	1.000000e+000	-1.421085e-014
1.782310719978816e-009	5.003207e-001	1.000000e+000	-1.421085e-014
2.082310719978801e-009	5.003207e-001	1.000000e+000	-1.421085e-014
2.382310719978769e-009	5.003207e-001	1.000000e+000	-1.421085e-014
2.682310719978736e-009	5.003207e-001	1.000000e+000	-1.421085e-014
2.982310719978704e-009	5.003207e-001	1.000000e+000	-1.421085e-014
3.282310719978672e-009	5.003207e-001	1.000000e+000	-1.421085e-014
3.582310719978640e-009	5.003207e-001	1.000000e+000	-1.421085e-014
3.882310719978674e-009	5.003207e-001	1.000000e+000	-1.421085e-014
4.182310719978766e-009	5.003207e-001	1.000000e+000	-1.421085e-014
4.482310719978858e-009	5.003207e-001	1.000000e+000	-1.421085e-014
4.782310719978950e-009	5.003207e-001	1.000000e+000	-1.421085e-014
5.082310719979042e-009	5.003207e-001	1.000000e+000	-1.421085e-014
5.382310719979134e-009	5.003207e-001	1.000000e+000	-1.421085e-014
5.682310719979226e-009	5.003207e-001	1.000000e+000	-1.421085e-014
5.982310719979318e-009	5.003207e-001	1.000000e+000	-1.421085e-014
6.282310719979410e-009	5.003207e-001	1.000000e+000	-1.421085e-014
6.582310719979502e-009	5.003207e-001	1.000000e+000	-1.421085e-014
6.882310719979594e-009	5.003207e-001	1.000000e+000	-1.421085e-014
7.182310719979686e-009	5.003207e-001	1.000000e+000	-1.421085e-014
7.482310719979752e-009	5.003207e-001	1.000000e+000	-1.421085e-014
7.782310719979596e-009	5.003207e-001	1.000000e+000	-1.421085e-014
8.082310719979440e-009	5.003207e-001	1.000000e+000	-1.421085e-014
8.382310719979284e-009	5.003207e-001	1.000000e+000	-1.421085e-014
8.682310719979128e-009	5.003207e-001	1.000000e+000	-1.421085e-014
8.982310719978972e-009	5.003207e-001	1.000000e+000	-1.421085e-014
9.282310719978815e-009	5.003207e-001	1.000000e+000	-1.421085e-014
9.582310719978659e-009	5.003207e-001	1.000000e+000	-1.421085e-014
9.882310719978503e-009	5.003207e-001	1.000000e+000	-1.421085e-014
1.018231071997835e-008	5.003207e-001	1.000000e+000	-1.421085e-014
1.048231071997819e-008	5.003207e-001	1.000000e+000	-1.421085e-014
1.078231071997804e-008	5.003207e-001	1.000000e+000	-1.421085e-014
1.108231071997788e-008	5.003207e-001	1.000000e+000	-1.421085e-014
1.138231071997772e-008	5.003207e-001	1.000000e+000	-1.421085e-014
1.168231071997757e-008	5.003207e-001	1.000000e+000	-1.421085e-014
1.198231071997741e-008	5.003207e-001	1.000000e+000	-1.421085e-014
1.228231071997725e-008	5.003207e-001	1.000000e+000	-1.421085e-014
1.258231071997710e-008	5.003207e-001	1.000000e+000	-1.421085e-014
1.288231071997694e-008	5.003207e-001	1.000000e+000	-1.421085e-014
1.318231071997679e-008	5.003207e-001	1.000000e+000	-1.421085e-014
1.348231071997663e-008	5.003207e-001	1.000000e+000	-1.421085e-014
1.378231071997647e-008	5.003207e-001	1.000000e+000	-1.421085e-014
1.408231071997632e-008	5.003207e-001	1.000000e+000	-1.421085e-014
1.438231071997616e-008	5.003207e-001	1.000000e+000	-1.421085e-014
1.468231071997601e-008	5.003207e-001	1.000000e+000	-1.421085e-014
1.498231071997599e-008	5.003207e-001	1.000000e+000	-1.421085e-014
1.528231071997633e-008	5.003207e-001	1.000000e+000	-1.421085e-014
1.558231071997667e-008	5.003207e-001	1.000000e+000	-1.421085e-014
1.588231071997701e-008	5.003207e-001	1.000000e+000	-1.421085e-014
1.618231071997735e-008	5.003207e-001	1.000000e+000	-1.421085e-014
1.648231071997769e-008	5.003207e-001	1.000000e+000	-1.421085e-014
1.678231071997803e-008	5.003207e-001	1.000000e+000	-1.421085e-014
