x-axis,1,2,3,4,F1
second,Volt,Volt,Volt,Volt,Volt
-116.0000E-09,,,,,
-115.5000E-09,+892.3366628587E-03,+659.8115833476E-03,+667.9020351730E-03,+655.8416858315E-03,+6.9946113153E-03
-115.0000E-09,+884.7989744972E-03,+655.5402266094E-03,+670.1633416815E-03,+655.8416858315E-03,+13.0248848427E-03
-114.5000E-09,+852.1356582642E-03,+661.8216335773E-03,+667.9020351730E-03,+655.8416858315E-03,+5.0170722234E-03
-114.0000E-09,+862.1859094128E-03,+661.8216335773E-03,+669.1583165666E-03,+655.8416858315E-03,+6.0180488008E-03
-113.5000E-09,+884.7989744972E-03,+662.5754024135E-03,+663.8819347136E-03,+648.3039974701E-03,+12.1893363E-06
-113.0000E-09,+872.2361605614E-03,+665.8417340368E-03,+666.8970100582E-03,+625.6909323856E-03,+12.1893363E-06
-112.5000E-09,+932.5376674533E-03,+666.5955028730E-03,+667.9020351730E-03,+665.8919369802E-03,+12.1893363E-06
-112.0000E-09,+924.9999790918E-03,+669.8618344963E-03,+671.9221356325E-03,+696.0426904261E-03,+988.7518509E-06
-111.5000E-09,+892.3366628587E-03,+668.8568093814E-03,+673.9321858622E-03,+685.9924392775E-03,+4.0160956460E-03
-111.0000E-09,+902.3869140074E-03,+666.5955028730E-03,+671.9221356325E-03,+655.8416858315E-03,+4.0160956460E-03
-110.5000E-09,+924.9999790918E-03,+668.8568093814E-03,+674.1834421409E-03,+655.8416858315E-03,+4.0160956460E-03
-110.0000E-09,+892.3366628587E-03,+665.8417340368E-03,+671.9221356325E-03,+655.8416858315E-03,+4.9926581605E-03
-109.5000E-09,+884.7989744972E-03,+663.8316838071E-03,+674.9372109771E-03,+655.8416858315E-03,+9.9975410476E-03
-109.0000E-09,+862.1859094128E-03,+659.8115833476E-03,+674.9372109771E-03,+665.8919369802E-03,+14.0258614201E-03
-108.5000E-09,+892.3366628587E-03,+665.8417340368E-03,+674.1834421409E-03,+688.5050020646E-03,+7.0190253782E-03
-108.0000E-09,+892.3366628587E-03,+665.8417340368E-03,+670.1633416815E-03,+655.8416858315E-03,+3.0151190686E-03
-107.5000E-09,+892.3366628587E-03,+665.8417340368E-03,+666.1432412220E-03,+665.8919369802E-03,-988.7872411E-06
-107.0000E-09,+884.7989744972E-03,+665.8417340368E-03,+664.8869598284E-03,+696.0426904261E-03,-2.0141778814E-03
-106.5000E-09,+862.1859094128E-03,+665.8417340368E-03,+670.9171105176E-03,+688.5050020646E-03,+4.0160956460E-03
-106.0000E-09,+884.7989744972E-03,+665.8417340368E-03,+670.1633416815E-03,+655.8416858315E-03,+3.0151190686E-03
-105.5000E-09,+852.1356582642E-03,+664.8367089219E-03,+666.8970100582E-03,+655.8416858315E-03,+988.7518509E-06
-105.0000E-09,+862.1859094128E-03,+662.5754024135E-03,+666.8970100582E-03,+655.8416858315E-03,+3.0151190686E-03
-104.5000E-09,+892.3366628587E-03,+665.8417340368E-03,+666.8970100582E-03,+665.8919369802E-03,+12.1893363E-06
-104.0000E-09,+892.3366628587E-03,+663.8316838071E-03,+667.9020351730E-03,+688.5050020646E-03,+2.9907050057E-03
-103.5000E-09,+892.3366628587E-03,+659.5603270689E-03,+670.9171105176E-03,+665.8919369802E-03,+10.0219551105E-03
-103.0000E-09,+892.3366628587E-03,+667.6005279878E-03,+670.1633416815E-03,+688.5050020646E-03,+1.0131659137E-03
-102.5000E-09,+892.3366628587E-03,+673.8819349557E-03,+666.8970100582E-03,+655.8416858315E-03,-7.9956232830E-03
-102.0000E-09,+892.3366628587E-03,+672.8769098409E-03,+668.9070602879E-03,+655.8416858315E-03,-5.0171076136E-03
-101.5000E-09,+884.7989744972E-03,+670.6156033324E-03,+675.9422360919E-03,+655.8416858315E-03,+4.0160956460E-03
-101.0000E-09,+862.1859094128E-03,+672.8769098409E-03,+678.2035426004E-03,+655.8416858315E-03,+4.0160956460E-03
-100.5000E-09,+892.3366628587E-03,+669.8618344963E-03,+674.1834421409E-03,+655.8416858315E-03,+3.0151190686E-03
-100.0000E-09,+892.3366628587E-03,+668.8568093814E-03,+671.9221356325E-03,+665.8919369802E-03,+1.9897284283E-03
-99.5000E-09,+892.3366628587E-03,+665.8417340368E-03,+674.9372109771E-03,+696.0426904261E-03,+8.0200019556E-03
-99.0000E-09,+884.7989744972E-03,+665.8417340368E-03,+674.9372109771E-03,+688.5050020646E-03,+8.0200019556E-03
-98.5000E-09,+862.1859094128E-03,+664.8367089219E-03,+673.1784170261E-03,+655.8416858315E-03,+7.0190253782E-03
-98.0000E-09,+892.3366628587E-03,+662.5754024135E-03,+667.9020351730E-03,+655.8416858315E-03,+4.0160956460E-03
-97.5000E-09,+884.7989744972E-03,+664.8367089219E-03,+670.1633416815E-03,+665.8919369802E-03,+4.0160956460E-03
-97.0000E-09,+872.2361605614E-03,+661.8216335773E-03,+665.1382161072E-03,+688.5050020646E-03,+2.0141424911E-03
-96.5000E-09,+932.5376674533E-03,+663.5804275284E-03,+659.8618342541E-03,+655.8416858315E-03,-4.9926935508E-03
-96.0000E-09,+914.9497279432E-03,+669.8618344963E-03,+663.8819347136E-03,+655.8416858315E-03,-7.0190607685E-03
-95.5000E-09,+862.1859094128E-03,+667.8517842665E-03,+666.8970100582E-03,+655.8416858315E-03,-2.0141778814E-03
-95.0000E-09,+884.7989744972E-03,+661.8216335773E-03,+666.8970100582E-03,+655.8416858315E-03,+4.0160956460E-03
-94.5000E-09,+862.1859094128E-03,+662.5754024135E-03,+666.8970100582E-03,+665.8919369802E-03,+3.0151190686E-03
-94.0000E-09,+884.7989744972E-03,+665.8417340368E-03,+667.9020351730E-03,+688.5050020646E-03,+988.7518509E-06
